,index,Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length
0,1,171162119680585_859052127558244,https://www.facebook.com/TarletonCOGS/posts/859052127558244,Tomorrow is the COGS fall open house at Tarleton State University - FW! Check out the agenda and RSVP!,Link,,,9/30/16 4:26 PM, ,21,21,0,29,29,0,0,0,0,0,0,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,171162119680585_859037424226381,https://www.facebook.com/TarletonCOGS/posts/859037424226381,It's not too late to register for Saturday's Open House Tarleton State University - FW!,Link,,,9/29/16 4:11 PM, ,26,26,0,50,50,0,1,1,1,0,0,49,25,0,0,1,0,0,0,0,0,0,0,0,0,0
2,3,171162119680585_859081790888611,https://www.facebook.com/TarletonCOGS/posts/859081790888611,Tarleton's Fall Job Fair is being held October 5th!  @TarletonCareers,Link,,,9/29/16 6:19 AM, ,107,81,0,162,120,0,7,1,1,0,0,121,81,0,0,6,0,0,0,0,0,0,0,0,0,0
3,4,171162119680585_859035847559872,https://www.facebook.com/TarletonCOGS/posts/859035847559872,Questions about the #GRE?  Attend this Saturday's Open House @TarletonFW for best practices.,Link,,,9/28/16 4:07 PM, ,27,27,0,48,48,0,0,0,0,0,0,47,26,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,171162119680585_859091770887613,https://www.facebook.com/TarletonCOGS/posts/859091770887613,The deadline to register for the #TAMUSPathways Student Research Symposium is this Friday!,Link,,,9/28/16 9:40 AM, ,166,51,0,254,88,0,6,3,3,0,0,104,56,0,0,5,0,0,0,0,0,0,0,0,0,0
5,6,171162119680585_859074730889317,https://www.facebook.com/TarletonCOGS/posts/859074730889317,Access the services of  The Writing Center at Tarleton State University online! Tarleton State University Global Campus,Link,,,9/28/16 6:02 AM, ,69,61,0,130,109,0,1,0,0,0,0,108,61,0,0,1,0,0,0,0,0,0,0,0,0,0
6,7,171162119680585_859035654226558,https://www.facebook.com/TarletonCOGS/posts/859035654226558,Learn more about graduate programs at Tarleton at this Saturday's Open House in Fort Worth!  https://tarleton.wufoo.com/forms/qxie0ij1emn4sr/,Link,,,9/27/16 4:07 PM, ,117,76,0,204,132,0,4,3,5,0,0,137,77,0,0,4,0,0,0,0,0,0,0,0,0,0
7,8,171162119680585_859058130890977,https://www.facebook.com/TarletonCOGS/posts/859058130890977:0,Looking to further your career as an educational leader? Learn about TSU Educational Leadership programs at tomorrow's sessions in FW and Stephenville.  Sessions begin at 6 p.m. in both locations. Email farmer@tarleton.edu for more information. Tarleton State University - Educational Leadership & Policy Studies,Photo,,,9/27/16 6:43 AM, ,294,290,0,733,727,0,12,10,15,0,0,612,237,0,0,10,0,0,0,0,0,0,0,0,0,0
8,9,171162119680585_859028140893976,https://www.facebook.com/TarletonCOGS/posts/859028140893976,Did you miss Tarleton on Tour on Saturday?  Your next opportunity to visit with us is October 1st at the Fort Worth campus for our graduate studies open house!  https://www.facebook.com/events/1753599848222100/,Link,,,9/26/16 4:53 PM, ,128,126,0,184,181,0,2,1,1,0,0,170,120,0,0,2,0,0,0,0,0,0,0,0,0,0
9,10,171162119680585_859018744228249,https://www.facebook.com/TarletonCOGS/posts/859018744228249:0,Thanks to all who came by the Arlington Convention Center on Saturday to visit with us at #tarletonontour!,Photo,,,9/26/16 7:17 AM, ,326,312,0,749,735,0,14,10,16,0,0,616,248,0,0,10,0,0,0,0,0,0,0,0,0,0
10,11,171162119680585_857911724338951,https://www.facebook.com/TarletonCOGS/posts/857911724338951,Set up and ready! Visit #tarletonontour today at the Arlington Convention Center from 10 am to noon.,Photo,,,9/24/16 7:47 AM, ,75,71,0,112,105,0,11,10,13,0,0,102,69,0,0,11,0,0,0,0,0,0,0,0,0,0
11,12,171162119680585_855331344596989,https://www.facebook.com/TarletonCOGS/posts/855331344596989,Don't miss #tarletonontour tomorrow in Arlington! Visit www.tarleton.edu/ontour for event details! The event starts at 10 a.m.,Link,,,9/23/16 5:41 PM, ,94,32,0,153,65,0,5,3,4,0,0,78,39,0,0,3,0,0,0,0,0,0,0,0,0,0
12,13,171162119680585_855328057930651,https://www.facebook.com/TarletonCOGS/posts/855328057930651,What are you doing this weekend?  Check out Tarleton's Planetarium. This weekend's shows are on Friday and Saturday at 7 p.m.,Link,,,9/23/16 6:31 AM, ,56,55,0,95,94,0,2,1,1,0,0,92,54,0,0,2,0,0,0,0,0,0,0,0,0,0
13,14,171162119680585_855323207931136,https://www.facebook.com/TarletonCOGS/posts/855323207931136,How effective are your study tactics? Take this short quiz to gauge your skills.,Link,,,9/22/16 5:20 PM, ,84,71,0,144,121,0,5,3,3,0,0,121,71,0,0,5,0,0,0,0,0,0,0,0,0,0
14,15,171162119680585_1753599848222100,https://www.facebook.com/events/1753599848222100/,"Are you interested in advancing your career?  Explore what a graduate degree can do for you! Join us!  Meet faculty, staff, students and alumni as well as learn about the university?s graduate school admissions process and best practices for passing the Graduate Record Examination (GRE). Application fees will be waived for attendees who apply within a week of the open house.  Tarleton-Fort Worth offers master?s programs in accounting, business administration, clinical mental health counseling, communication studies, counseling, criminal justice, curriculum and instruction, educational administration, medical laboratory services, nursing administration, nursing education, public administration and social work.  The university?s doctor of education (Ed.D.) program combines individualized study with specialized course work and research.",Status,,,9/22/16 2:04 PM, ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,16,171162119680585_856986864431437,https://www.facebook.com/TarletonCOGS/posts/856986864431437:0,Happy First Day of Fall!,Photo,,,9/22/16 1:30 PM, ,604,576,0,1539,1486,0,11,6,7,0,0,1120,406,0,0,9,0,0,0,0,0,0,0,0,0,0
16,17,171162119680585_855306601266130,https://www.facebook.com/TarletonCOGS/posts/855306601266130,Tips and Tricks for Phone Interviews Career Services @ Tarleton,Link,,,9/22/16 6:34 AM, ,69,54,0,115,89,0,4,2,3,0,0,89,54,0,0,4,0,0,0,0,0,0,0,0,0,0
17,18,171162119680585_855304154599708,https://www.facebook.com/TarletonCOGS/posts/855304154599708,See you on Saturday!  #tarletonontour,Link,,,9/21/16 5:29 PM, ,46,44,0,75,73,0,2,1,1,0,0,73,44,0,0,2,0,0,0,0,0,0,0,0,0,0
18,19,171162119680585_855301137933343,https://www.facebook.com/TarletonCOGS/posts/855301137933343,Tips for Distance Learners. #tarletongradstudies Tarleton State University Global Campus,Link,,,9/21/16 6:21 AM, ,68,66,0,104,101,0,5,3,3,0,0,101,66,0,0,5,0,0,0,0,0,0,0,0,0,0
19,20,171162119680585_855286651268125,https://www.facebook.com/TarletonCOGS/posts/855286651268125,Thinking about the next step in your educational journey?  Join us Saturday for Tarleton on Tour to learn more! #tarletonontour,Link,,,9/20/16 5:46 PM, ,49,47,0,79,76,0,1,0,0,0,0,76,47,0,0,1,0,0,0,0,0,0,0,0,0,0
20,21,171162119680585_855283257935131,https://www.facebook.com/TarletonCOGS/posts/855283257935131,5 Ways To Create A Powerfully Productive Mind. #TransformationalTuesday #tarletongradstudies,Link,,,9/20/16 5:36 AM, ,113,90,0,178,141,0,7,4,4,0,0,141,90,0,0,6,0,0,0,0,0,0,0,0,0,0
21,22,171162119680585_855276011269189,https://www.facebook.com/TarletonCOGS/posts/855276011269189,"If You?re Feeling Uncomfortable, That?s The Start Of Your Personal Growth",Link,,,9/19/16 5:21 PM, ,155,123,0,277,220,0,11,7,8,1,1,222,123,0,0,9,0,0,0,0,0,0,0,0,0,0
22,23,171162119680585_855265557936901,https://www.facebook.com/TarletonCOGS/posts/855265557936901:0,Timeline Photos,Photo,,,9/19/16 6:44 AM, ,699,693,0,2001,1991,0,9,6,7,0,0,1537,498,0,0,8,0,0,0,0,0,0,0,0,0,0
23,24,171162119680585_851535571643233,https://www.facebook.com/TarletonCOGS/posts/851535571643233,How to make work-life balance work.,Link,,,9/16/16 5:17 PM, ,59,59,0,98,98,0,3,3,3,0,0,98,59,0,0,3,0,0,0,0,0,0,0,0,0,0
24,25,171162119680585_849300141866776,https://www.facebook.com/TarletonCOGS/posts/849300141866776:0,Timeline Photos,Photo,,,9/16/16 10:00 AM, ,222,220,0,531,530,0,6,6,7,0,0,488,194,0,0,4,0,0,0,0,0,0,0,0,0,0
25,26,171162119680585_853674101429380,https://www.facebook.com/TarletonCOGS/posts/853674101429380,"Congrats, Tarleton State! Top 10 in online MBA programs! #MBA #tarletongradstudies Tarleton State University - College of Business Administration Tarleton State University Jodie Dearing",Link,,,9/16/16 7:59 AM, ,81,67,0,133,114,0,5,2,2,0,0,106,62,0,0,4,0,0,0,0,0,0,0,0,0,0
26,27,171162119680585_851533761643414,https://www.facebook.com/TarletonCOGS/posts/851533761643414,The Benefits of Taking Small Breaks,Link,,,9/16/16 5:15 AM, ,93,85,0,188,178,0,9,8,8,0,0,178,85,0,0,9,0,0,0,0,0,0,0,0,0,0
27,28,171162119680585_851531261643664,https://www.facebook.com/TarletonCOGS/posts/851531261643664,Blackboard Hints and How-Tos,Link,,,9/15/16 5:07 PM, ,63,53,0,120,98,0,2,0,0,0,0,99,54,0,0,2,0,0,0,0,0,0,0,0,0,0
28,29,171162119680585_849298855200238,https://www.facebook.com/TarletonCOGS/posts/849298855200238:0,Timeline Photos,Photo,,,9/15/16 10:00 AM, ,203,202,0,480,478,0,4,3,4,0,0,449,184,0,0,2,0,0,0,0,0,0,0,0,0,0
29,30,171162119680585_851530084977115,https://www.facebook.com/TarletonCOGS/posts/851530084977115,Software discounts are available to the Tarleton community!  See more: http://www.tarleton.edu/technology/Software.html,Link,,,9/15/16 5:04 AM, ,112,88,0,206,168,0,7,6,7,0,0,169,88,0,0,7,0,0,0,0,0,0,0,0,0,0
30,31,171162119680585_851527671644023,https://www.facebook.com/TarletonCOGS/posts/851527671644023,Many of our programs are 100% online!  See a complete list on our website. #WebWednesday,Link,,,9/14/16 5:57 PM, ,74,58,0,128,102,0,5,3,3,0,0,102,58,0,0,5,0,0,0,0,0,0,0,0,0,0
31,32,171162119680585_849298688533588,https://www.facebook.com/TarletonCOGS/posts/849298688533588:0,Timeline Photos,Photo,,,9/14/16 10:00 AM, ,208,207,0,500,498,0,4,3,4,0,0,462,190,0,0,2,0,0,0,0,0,0,0,0,0,0
32,33,171162119680585_851526321644158,https://www.facebook.com/TarletonCOGS/posts/851526321644158,Have you learned to use WordPress? #webwednesday,Link,,,9/14/16 5:53 AM, ,103,80,0,187,152,0,9,6,6,0,0,152,80,0,0,8,0,0,0,0,0,0,0,0,0,0
33,34,171162119680585_851523724977751,https://www.facebook.com/TarletonCOGS/posts/851523724977751,Catch up with the latest news from the College of Graduate Studies by checking out this week's newsletter.,Link,,,9/13/16 5:45 PM, ,40,39,0,77,76,0,3,1,1,0,0,76,39,0,0,3,0,0,0,0,0,0,0,0,0,0
34,35,171162119680585_849298615200262,https://www.facebook.com/TarletonCOGS/posts/849298615200262:0,Timeline Photos,Photo,,,9/13/16 10:00 AM, ,225,224,0,584,582,0,5,4,4,0,0,525,195,0,0,3,0,0,0,0,0,0,0,0,0,0
35,36,171162119680585_851520524978071,https://www.facebook.com/TarletonCOGS/posts/851520524978071,Present your research at the 13th annual Pathways Student Research Symposium. ##TAMUSPathways,Link,,,9/13/16 5:42 AM, ,349,75,0,592,141,0,13,7,8,1,1,205,106,0,0,7,0,0,0,0,0,0,0,0,0,0
36,37,171162119680585_851516768311780,https://www.facebook.com/TarletonCOGS/posts/851516768311780,Have you registered for Tarleton SALT?  Find out more on this free financial tool available to Tarleton students.,Link,,,9/12/16 5:32 PM, ,71,54,0,135,106,0,3,1,1,0,0,108,53,0,0,3,0,0,0,0,0,0,0,0,0,0
37,38,171162119680585_849297808533676,https://www.facebook.com/TarletonCOGS/posts/849297808533676:0,Timeline Photos,Photo,,,9/12/16 10:00 AM, ,262,244,0,627,593,0,6,4,5,0,0,537,214,0,0,5,0,0,0,0,0,0,0,0,0,0
38,39,171162119680585_851513661645424,https://www.facebook.com/TarletonCOGS/posts/851513661645424,Writing a Personal Statement for Grad School Admissions,Link,,,9/12/16 8:13 AM, ,98,83,0,178,154,0,7,5,5,0,0,153,82,0,0,7,0,0,0,0,0,0,0,0,0,0
39,40,171162119680585_848120008651456,https://www.facebook.com/TarletonCOGS/posts/848120008651456,5 Great Reasons to Find Some Time to Disconnect.,Link,,,9/9/16 5:34 PM, ,357,106,0,596,179,0,15,12,14,0,0,248,128,0,0,8,0,0,0,0,0,0,0,0,0,0
40,41,171162119680585_849905291806261,https://www.facebook.com/TarletonCOGS/posts/849905291806261,Meet current graduate student Phillis Bunch from the Master of Music Education program in this week's student spotlight.  Master of Music in Music Education Program at Tarleton State University,Link,,,9/9/16 1:49 PM, ,47,26,0,59,35,0,5,1,2,0,0,36,27,0,0,5,0,0,0,0,0,0,0,0,0,0
41,42,171162119680585_849294745200649,https://www.facebook.com/TarletonCOGS/posts/849294745200649,"Check out this new book by Tarleton grad faculty member, Dr. T Lindsay Baker.",Link,,,9/9/16 10:21 AM, ,112,77,0,187,126,0,6,4,8,0,0,140,82,0,0,6,0,0,0,0,0,0,0,0,0,0
42,43,171162119680585_848118715318252,https://www.facebook.com/TarletonCOGS/posts/848118715318252,Lessons from Preschool:  Putting it into perspective.,Link,,,9/9/16 5:30 AM, ,117,89,0,195,158,0,7,5,6,0,0,157,88,0,0,7,0,0,0,0,0,0,0,0,0,0
43,44,171162119680585_848117635318360,https://www.facebook.com/TarletonCOGS/posts/848117635318360,Learn more about healthy habits and tips from Tarleton's Health Services. Tarleton Student Health Center http://buff.ly/2ca8RwY,Link,,,9/8/16 5:59 PM, ,94,73,0,156,123,0,4,1,1,0,0,122,72,0,0,4,0,0,0,0,0,0,0,0,0,0
44,45,171162119680585_849277038535753,https://www.facebook.com/TarletonCOGS/posts/849277038535753,"Dr. Moumin Quazi is an Associate Professor of English and the Program advisor to graduate students in the English & Languages program at Tarleton.    Congratulations, Dr. Quazi, on your recent publication!",Link,,,9/8/16 9:26 AM, ,401,125,0,648,215,0,24,15,18,1,1,253,141,0,0,14,0,0,0,0,0,0,0,0,0,0
45,46,171162119680585_185842031840090,https://www.facebook.com/events/185842031840090/,"This fair is open to anyone interested in learning about Tarleton State University. Alumni are welcome and encouraged to attend. There will also be free refreshments and free parking (tell the attendant you?re here for Tarleton)! Join us to:  Find out about the nearly 100 degree programs ? bachelor?s, master?s and doctorate.  Learn about Tarleton?s five locations, including Global Campus (online), Stephenville, Fort Worth, Midlothian and Waco.  Attend snapshot presentations from Financial Aid and Texas Success Initiative.  Explore the International Studies and Study Abroad and Student Life.  Visit with representatives from all six Tarleton colleges ? Business Administration, Agricultural and Environmental Sciences, Education, Liberal and Fine Arts and Science and Technology, as well as the School of Criminology, Criminal Justice and Strategic Studies.",Status,,,9/8/16 6:20 AM, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,47,171162119680585_848112111985579,https://www.facebook.com/TarletonCOGS/posts/848112111985579,"Great tips for those big, upcoming project deadlines!",Link,,,9/8/16 6:10 AM, ,138,71,0,235,128,0,5,4,4,1,1,139,76,0,0,5,0,0,0,0,0,0,0,0,0,0
47,48,171162119680585_848110288652428,https://www.facebook.com/TarletonCOGS/posts/848110288652428,Sharpen your writing skills with these courses.,Link,,,9/7/16 4:04 PM, ,80,64,0,161,128,0,3,1,1,0,0,127,63,0,0,3,0,0,0,0,0,0,0,0,0,0
48,49,171162119680585_848110095319114,https://www.facebook.com/TarletonCOGS/posts/848110095319114,"4 Secrets of a Short, Sweet, Successful Resume.",Link,,,9/7/16 6:04 AM, ,279,125,0,547,225,0,18,14,19,0,0,255,134,0,0,12,0,0,0,0,0,0,0,0,0,0
49,50,171162119680585_848104438653013,https://www.facebook.com/TarletonCOGS/posts/848104438653013,Catch up with the latest news from the College of Graduate Studies in this week's newsletter.,Link,,,9/6/16 4:48 PM, ,87,76,0,144,127,0,4,3,3,0,0,126,75,0,0,4,0,0,0,0,0,0,0,0,0,0
50,51,171162119680585_848101788653278,https://www.facebook.com/TarletonCOGS/posts/848101788653278,Do your best today!,Link,,,9/6/16 7:28 AM, ,109,75,0,216,166,0,6,1,1,0,0,164,73,0,0,5,0,0,0,0,0,0,0,0,0,0
51,52,171162119680585_845197582277032,https://www.facebook.com/TarletonCOGS/posts/845197582277032,Welcome to Fall 2016!  Read the Dean's Message on our blog.,Link,,,9/5/16 4:58 PM, ,544,252,0,826,415,0,34,21,36,2,2,430,259,0,0,26,0,0,0,0,0,0,0,0,0,0
52,53,171162119680585_843935842403206,https://www.facebook.com/TarletonCOGS/posts/843935842403206:0,The University is closed today in honor of the Labor Day holiday.,Photo,,,9/5/16 6:05 AM, ,576,474,0,1328,1116,0,14,9,11,0,0,738,269,0,0,10,0,0,0,0,0,0,0,0,0,0
53,54,171162119680585_843935285736595,https://www.facebook.com/TarletonCOGS/posts/843935285736595,Reminder: The University will be closed on Monday for the Labor Day holiday.,Status,,,9/2/16 5:02 PM, ,49,49,0,87,87,0,0,0,0,0,0,85,48,0,0,0,0,0,0,0,0,0,0,0,0,0
54,55,171162119680585_843930415737082,https://www.facebook.com/TarletonCOGS/posts/843930415737082,7 Life Lessons of Grad School,Link,,,9/2/16 5:51 AM, ,275,204,0,413,321,0,24,22,26,0,0,307,197,0,0,23,0,0,0,0,0,0,0,0,0,0
55,56,171162119680585_843928282403962,https://www.facebook.com/TarletonCOGS/posts/843928282403962,Great tips for acing your next phone interview. http://buff.ly/2bzlTmZ #tarletongradschool,Link,,,9/1/16 5:45 PM, ,72,72,0,116,116,0,2,2,2,0,0,115,72,0,0,2,0,0,0,0,0,0,0,0,0,0
56,57,171162119680585_845127012284089,https://www.facebook.com/TarletonCOGS/posts/845127012284089,"Thanks to all who stopped by to say ""Howdy"" last night and grab a snowcone! Tarleton State University",Photo,,,9/1/16 8:14 AM, ,156,97,0,219,153,0,17,10,13,0,0,152,97,0,0,17,0,0,0,0,0,0,0,0,0,0
57,58,171162119680585_843923582404432,https://www.facebook.com/TarletonCOGS/posts/843923582404432,What if this was your last lecture?  What would you say to your students and colleagues? The Last Lecture with Dr. Jim Gentry.  September 15th.,Link,,,9/1/16 5:37 AM, ,250,128,0,410,202,0,10,6,6,0,0,216,138,0,0,8,0,0,0,0,0,0,0,0,0,0
58,59,171162119680585_843912289072228,https://www.facebook.com/TarletonCOGS/posts/843912289072228,Are you an alum of Tarleton COGS?  Join the Tarleton Alumni Association!,Link,,,8/31/16 5:09 PM, ,130,75,0,193,118,0,6,3,3,0,0,121,78,0,0,5,0,0,0,0,0,0,0,0,0,0
59,60,171162119680585_843898259073631,https://www.facebook.com/TarletonCOGS/posts/843898259073631:0,Looking to further your career as an educational leader? Learn about TSU Educational Leadership programs at one of the upcoming information sessions:  Waco - 9/21 Fort Worth - 9/28 Stephenville - 9/28,Photo,,,8/31/16 5:31 AM, ,455,397,0,906,812,0,6,5,8,0,0,457,197,0,0,4,0,0,0,0,0,0,0,0,0,0
60,61,171162119680585_843889242407866,https://www.facebook.com/TarletonCOGS/posts/843889242407866,"New GA position posted! Get career experience in HR w/a graduate assistantship in Employee Services, Training & Development. More http://buff.ly/2by0KfI",Link,,,8/30/16 5:02 PM, ,423,141,0,624,224,0,23,18,30,0,0,255,159,0,0,13,0,0,0,0,0,0,0,0,0,0
61,62,171162119680585_843865385743585,https://www.facebook.com/TarletonCOGS/posts/843865385743585,Looking for a research position? The College of Education is looking for a graduate assistant to work on a grant funded research project examining children?s early numeracy in the home. See more details and apply through Hire A Texan. Tarleton State University Tarleton State University - College of Education,Link,,,8/30/16 8:07 AM, ,346,94,0,478,156,0,20,13,18,1,1,165,100,0,0,8,0,0,0,0,0,0,0,0,0,0
62,63,171162119680585_840596239403833,https://www.facebook.com/TarletonCOGS/posts/840596239403833,"Welcome back, grad students!  Catch up with this week's graduate studies news by viewing The COGS Connection on our blog!",Link,,,8/29/16 5:36 PM, ,78,66,0,132,118,0,5,3,3,0,0,118,66,0,0,5,0,0,0,0,0,0,0,0,0,0
63,64,171162119680585_840595479403909,https://www.facebook.com/TarletonCOGS/posts/840595479403909:0,"The College of Education is looking for three 12-month GAs to begin this fall semester:    ? GA 1 ? need someone with a strong Communications background that can assist with all Social Media and other forms of communication ? GA 2 ? need someone with a strong Writing/Communications background to assist with CoE newsletters, magazines, etc.   This person will create ?Feature Stories?. ? GA 3 ? need someone to assist with planning Special Events  Resumes can be submitted directly to Dr. Kayla Peak (peak@tarleton.edu).",Photo,,,8/29/16 5:33 AM, ,2389,445,0,3774,836,0,229,218,274,0,0,730,343,0,0,55,0,0,0,0,0,0,0,0,0,0
64,65,171162119680585_839401032856687,https://www.facebook.com/TarletonCOGS/posts/839401032856687,Are you falling for one of these?,Link,,,8/26/16 4:59 PM, ,138,104,0,250,183,0,12,9,9,0,0,185,104,0,0,9,0,0,0,0,0,0,0,0,0,0
65,66,171162119680585_839399959523461,https://www.facebook.com/TarletonCOGS/posts/839399959523461,Want international travel to be a part of your career?  Check out these global firms.,Link,,,8/26/16 7:13 AM, ,252,135,0,420,225,0,19,17,18,0,0,235,140,0,0,15,0,0,0,0,0,0,0,0,0,0
66,67,171162119680585_839385339524923,https://www.facebook.com/TarletonCOGS/posts/839385339524923,Bookmark this quick resource page as you begin the fall semester! http://buff.ly/2bJ5OJJ,Link,,,8/25/16 3:34 PM, ,164,83,0,270,137,0,4,2,2,0,0,147,88,0,0,3,0,0,0,0,0,0,0,0,0,0
67,68,171162119680585_839373282859462,https://www.facebook.com/TarletonCOGS/posts/839373282859462,Getting started with Blackboard.  Tips and how-to guide.   #tarletongradschool,Link,,,8/25/16 6:07 AM, ,196,77,0,346,134,0,10,6,6,0,0,154,83,0,0,4,0,0,0,0,0,0,0,0,0,0
68,69,171162119680585_839377432859047,https://www.facebook.com/TarletonCOGS/posts/839377432859047,Make the OWL your best friend!  Writing resources for students.,Link,,,8/24/16 5:13 PM, ,166,127,0,260,212,0,11,8,8,0,0,214,128,0,0,11,0,0,0,0,0,0,0,0,0,0
69,70,171162119680585_840573812739409,https://www.facebook.com/TarletonCOGS/posts/840573812739409,"In our latest blog post, meet Jodie Dearing, advisor to Tarleton's COBA graduate students. COBA at Tarleton State University; Jodie Dearing",Link,,,8/24/16 1:25 PM, ,1164,354,0,1725,637,0,81,59,78,1,1,666,373,0,0,55,0,0,0,0,0,0,0,0,0,0
70,71,171162119680585_839370456193078,https://www.facebook.com/TarletonCOGS/posts/839370456193078,Need to look up your student ID?  Use this handy tool.,Link,,,8/24/16 5:59 AM, ,78,63,0,141,116,0,3,2,2,0,0,116,63,0,0,3,0,0,0,0,0,0,0,0,0,0
71,72,171162119680585_839369556193168,https://www.facebook.com/TarletonCOGS/posts/839369556193168,Catch up with the most recent issue of The COGS Connection via our blog.,Link,,,8/23/16 5:56 PM, ,72,58,0,114,88,0,6,5,5,0,0,88,58,0,0,5,0,0,0,0,0,0,0,0,0,0
72,73,171162119680585_840059619457495,https://www.facebook.com/TarletonCOGS/posts/840059619457495,"We've got new contact information!  For general information, email gradinfo@tarleton.edu, and if you need to submit application documents or forms, use grad-docs@tarleton.edu.",Status,,,8/23/16 2:32 PM, ,62,62,0,82,82,0,0,0,0,0,0,82,62,0,0,0,0,0,0,0,0,0,0,0,0,0
73,74,171162119680585_839368356193288,https://www.facebook.com/TarletonCOGS/posts/839368356193288,Everything that you wanted to know about being hired/hiring a GA!  #tarletongradstudies,Link,,,8/23/16 5:51 AM, ,131,103,0,204,160,0,6,3,3,0,0,160,103,0,0,6,0,0,0,0,0,0,0,0,0,0
74,75,171162119680585_839380686192055,https://www.facebook.com/TarletonCOGS/posts/839380686192055,New grad student? Welcome!  Learn more about grad studies with our online orientation guide.,Link,,,8/22/16 5:24 PM, ,371,156,0,578,270,0,18,9,10,0,0,280,160,0,0,13,0,0,0,0,0,0,0,0,0,0
75,76,171162119680585_839406542856136,https://www.facebook.com/TarletonCOGS/posts/839406542856136:0,"Welcome back, students!  Thanks to all who stopped by our Stephenville office during the Transition Week tours!    Austin, featured in the photo below with our recruiter, Mweni Ekpo, will be starting his graduate degree in Human Resources Management this spring.  Thanks, Austin, for stopping by to say hi!",Photo,,,8/22/16 11:06 AM, ,556,507,0,1361,1295,0,16,9,10,1,1,799,293,0,0,13,0,0,0,0,0,0,0,0,0,0
76,77,171162119680585_839337842863006,https://www.facebook.com/TarletonCOGS/posts/839337842863006,Prepare for the GRE with these free online tools.,Link,,,8/22/16 8:43 AM, ,82,67,0,138,108,0,2,1,1,0,0,108,67,0,0,1,0,0,0,0,0,0,0,0,0,0
77,78,171162119680585_835490543247736,https://www.facebook.com/TarletonCOGS/posts/835490543247736,Check your graduate application status online!,Link,,,8/19/16 5:32 PM, ,113,103,0,200,181,0,4,2,2,1,1,182,103,0,0,3,0,0,0,0,0,0,0,0,0,0
78,79,171162119680585_837743866355737,https://www.facebook.com/TarletonCOGS/posts/837743866355737,College of Graduate Studies - Tarleton State University's cover photo,Photo,,,8/19/16 1:01 PM, ,90,57,0,130,90,0,16,10,21,0,0,90,57,0,0,11,0,0,0,0,0,0,0,0,0,0
79,80,171162119680585_837738029689654,https://www.facebook.com/TarletonCOGS/posts/837738029689654,"In our latest blog post, learn how Tarleton alumnus Brad Mills utilized his experience as a GA to transition into his career.  Tarleton State University Kinesiology Program",Link,,,8/19/16 12:46 PM, ,128,107,0,216,188,0,11,7,11,1,1,189,107,0,0,8,0,0,0,0,0,0,0,0,0,0
80,81,171162119680585_837688173027973,https://www.facebook.com/TarletonCOGS/posts/837688173027973:0,Thanks Dora Lee Langdon Center for accomodating a great COGS Staff retreat and planning day yesterday!  Great things in the works for 2017!,Photo,,,8/19/16 10:44 AM, ,383,383,0,863,863,0,2,2,3,0,0,497,201,0,0,1,0,0,0,0,0,0,0,0,0,0
81,82,171162119680585_835489166581207,https://www.facebook.com/TarletonCOGS/posts/835489166581207,Thinking about going to grad school? Consider these points. #tarletongradschool,Link,,,8/18/16 5:27 PM, ,305,123,0,495,214,0,19,14,14,0,0,230,132,0,0,14,0,0,0,0,0,0,0,0,0,0
82,83,171162119680585_835487089914748,https://www.facebook.com/TarletonCOGS/posts/835487089914748,You're not the only one! Motivation can be fleeting. Read more from a doctoral student here: http://buff.ly/2bkjJ8q,Link,,,8/18/16 6:20 AM, ,123,90,0,235,179,0,8,6,6,1,1,184,89,0,0,8,0,0,0,0,0,0,0,0,0,0
83,84,171162119680585_835485379914919,https://www.facebook.com/TarletonCOGS/posts/835485379914919,Cover letters are important!  Check out this example from Tarleton Career Services ->  http://buff.ly/2bi1cNY,Status,,,8/17/16 5:11 PM, ,283,147,0,405,220,0,19,16,21,0,0,236,155,0,0,14,0,0,0,0,0,0,0,0,0,0
84,85,171162119680585_836531953143595,https://www.facebook.com/TarletonCOGS/posts/836531953143595,Whoa!  Check out these 12 apps that every student should have.,Link,,,8/17/16 7:21 AM, ,581,241,0,953,430,0,48,40,51,1,1,398,225,0,0,34,0,0,0,0,0,0,0,0,0,0
